url,URLCategory
google.uz,"['search-engines', 'translation']"
googleadservices.com,"['content-delivery-networks', 'search-engines']"
googleusercontent.com,"['Internet_info_custom', 'content-delivery-networks', 'search-engines', 'social-networking', 'translation']"
gos-gsp.io,"['business-and-economy', 'philosophy-and-political-advocacy']"
gov.ru,"['Government_custom', 'government']"
gov74.ru,"['Internet_and_Telephony_custom', 'government', 'motor-vehicles']"
govvrn.ru,"['government', 'web-based-email']"
gpbin.ru,"['newly-registered-domain', 'parked']"
gpeople.online,"['Internet_info_custom', 'Real_Estate_custom']"
gstatic.com,"['content-delivery-networks', 'reference-and-research']"
gtimg.com,"['internet-communications-and-telephony', 'internet-portals', 'philosophy-and-political-advocacy']"
gurufocus.com,"['online-storage-and-backup', 'stock-advice-and-tools']"
habby.mobi,"['games', 'news']"
hatena.ne.jp,"['internet-portals', 'search-engines']"
hbfile.net,"['business-and-economy', 'online-storage-and-backup']"
hereapi.com,"['business-and-economy', 'reference-and-research']"
heroui.com,"['Internet_info_custom', 'command-and-control']"
heytapdl.com,"['business-and-economy', 'health-and-medicine', 'news']"
heytapmobile.com,"['health-and-medicine', 'travel']"
hihonorcloud.com,"['online-storage-and-backup', 'philosophy-and-political-advocacy']"
hik-connectru.com,"['internet-communications-and-telephony', 'motor-vehicles', 'society']"
hostingradio.ru,"['business-and-economy', 'streaming-media']"
hotbot.ai,"['real-estate', 'travel']"
hse.ru,"['educational-institutions', 'legal', 'web-based-email']"
hts.ru,"['web-based-email', 'web-hosting']"
i.ua,"['internet-portals', 'search-engines']"
ibs.ru,"['business-and-economy', 'web-based-email']"
ibytedtos.com,"['business-and-economy', 'content-delivery-networks']"
icloud.com,"['health-and-medicine', 'online-storage-and-backup', 'proxy-avoidance-and-anonymizers']"
idacloud.ru,"['internet-communications-and-telephony', 'parked', 'real-estate']"
igamecj.com,"['entertainment-and-arts', 'parked']"
igaw.io,"['philosophy-and-political-advocacy', 'sports']"
imgbb.ru,"['content-delivery-networks', 'government']"
imggaming.com,"['content-delivery-networks', 'religion']"
imgur.com,"['content-delivery-networks', 'online-storage-and-backup']"
inbox.lv,"['internet-portals', 'online-storage-and-backup', 'web-based-email']"
innopolis.ru,"['educational-institutions', 'web-based-email']"
insales.ru,"['phishing', 'web-based-email']"
instructure.com,"['educational-institutions', 'training-and-tools']"
intellimize.co,"['real-estate', 'reference-and-research']"
intercomp.ru,"['business-and-economy', 'web-based-email']"
interfax.ru,"['Internet_info_custom', 'business-and-economy']"
interia.pl,"['news', 'web-based-email']"
intgame.ru,"['Financial_Services_custom', 'games']"
investfuture.plus,"['newly-registered-domain', 'parked']"
investyakutia.ru,"['newly-registered-domain', 'parked']"
irk.ru,"['educational-institutions', 'news', 'real-estate']"
isappcloud.com,"['educational-institutions', 'shopping']"
isha.in,"['religion', 'search-engines']"
isnssdk.com,"['business-and-economy', 'personal-sites-and-blogs']"
ispras.ru,"['educational-institutions', 'web-based-email']"
itmo.ru,"['educational-institutions', 'web-based-email']"
jino.ru,"['web-based-email', 'web-hosting']"
jinr.ru,"['educational-institutions', 'web-based-email']"
jofo.me,"['adult', 'personal-sites-and-blogs', 'religion']"
joomcdn.net,"['content-delivery-networks', 'educational-institutions', 'reference-and-research', 'shareware-and-freeware', 'streaming-media']"
jump.taxi,"['travel', 'web-based-email']"
kai.ru,"['educational-institutions', 'web-based-email']"
kakao.com,"['internet-communications-and-telephony', 'reference-and-research']"
kantiana.ru,"['educational-institutions', 'web-based-email']"
